treeID,species,stems,x,y,dbh_inch,dbh_cm
1,QUDO,2,-6,0,42.3,107.442
2,QUDO,1,-5.8,4,20.5,52.07
3,QUDO,2,-10.5,5.1,44,111.76
4,QUDO,2,-4.2,6.5,26.5,67.31
5,QUDO,2,-12.5,6.5,21.6,54.864
6,QUDO,3,-6.1,8.85,75.9,192.786
7,QUDO,1,-10.3,9.2,26.9,68.326
8,QUDO,2,-11.5,23.7,71.4,181.356
9,QUDO,2,1.2,26.1,59.2,150.368
10,QUDO,1,-8,26.85,35.8,90.932
11,QUDO,1,-3.5,29.5,41.5,105.41
12,QUDO,2,0,36.2,44.5,113.03
13,QUDO,1,2,38.7,32.1,81.534
14,QUDO,3,6,39.5,60.7,154.178
15,QUDO,1,-5.7,42.7,15.4,39.116
16,QUDO,2,12.3,44,67.6,171.704
17,QUDO,1,-6.8,44.6,45,114.3
18,QUDO,1,-9,48,41.2,104.648
